season,team,attempts,completions,passing_yards,passing_tds,passing_epa,sacks,sack_yards,carries,rushing_yards,rushing_tds,rushing_epa,interceptions,sack_fumbles_lost,receiving_fumbles_lost,rushing_fumbles_lost,season_type
2016,HOU,583,347,3418.0,15,-57.53683234871119,32.0,242.0,456,1859.0,8,-45.986939180547274,16.0,2,1.0,2.0,REG
2016,IND,583,370,4491.0,32,56.52445641935878,44.0,289.0,409,1628.0,13,-33.458239839705776,15.0,3,0.0,3.0,REG
2016,JAX,626,369,3925.0,24,-46.99978742221106,34.0,197.0,394,1638.0,8,-43.19970022361643,16.0,5,0.0,5.0,REG
2016,KC,546,365,3914.0,19,37.57247521783438,32.0,174.0,417,1753.0,15,-30.088077607857336,8.0,3,0.0,3.0,REG
2016,LA,536,312,3313.0,14,-143.21822083871177,49.0,362.0,375,1252.0,9,-62.19408018608949,20.0,3,3.0,2.0,REG
2016,MIA,477,316,3716.0,27,39.9499283681116,30.0,216.0,405,1824.0,14,-25.537177755902093,15.0,2,2.0,2.0,REG
2016,MIN,588,414,4119.0,20,41.851959526662384,38.0,283.0,362,1155.0,9,-94.57981098021165,5.0,5,0.0,2.0,REG
2016,NE,550,368,4456.0,32,166.01699891338677,24.0,148.0,482,1872.0,19,-28.11824019290482,2.0,1,3.0,2.0,REG
2016,NO,674,472,5258.0,38,118.16384587745262,27.0,184.0,404,1742.0,17,-10.621310887486604,15.0,4,2.0,2.0,REG
2016,NYG,598,377,4027.0,26,-6.88312267542824,22.0,148.0,398,1412.0,6,-59.994049296270006,16.0,4,4.0,1.0,REG
2016,NYJ,550,311,3645.0,16,-56.279538880691106,35.0,179.0,420,1810.0,10,-18.122563514200838,25.0,2,3.0,3.0,REG
2016,OAK,596,379,4137.0,29,57.03930376330118,18.0,86.0,434,1922.0,17,-33.49336057477896,7.0,3,0.0,4.0,REG
2016,PHI,608,380,3798.0,16,11.252622424356321,33.0,213.0,435,1803.0,16,-32.51795357799889,14.0,2,0.0,4.0,REG
2016,PIT,596,381,4377.0,33,91.27505351658739,21.0,175.0,407,1753.0,13,-13.372346405807537,15.0,2,0.0,1.0,REG
2016,SD,580,349,4386.0,33,50.478379479255864,36.0,188.0,416,1560.0,10,-47.91909570070629,21.0,5,4.0,3.0,REG
2016,SEA,567,368,4422.0,23,59.728686254012125,42.0,298.0,285,1116.0,7,-35.863350128616894,12.0,0,2.0,4.0,REG
2016,SF,491,287,3166.0,21,-42.01739106312349,47.0,255.0,458,2019.0,15,-20.732199308580803,10.0,1,4.0,6.0,REG
2016,TB,579,355,4165.0,29,57.71983316859898,35.0,239.0,452,1607.0,8,-64.66825248824468,18.0,5,0.0,4.0,REG
2016,TEN,504,307,3720.0,29,51.951088725642585,28.0,179.0,476,2187.0,16,-19.810561351048392,11.0,2,1.0,4.0,REG
2016,WAS,607,407,4948.0,25,120.30490735966978,23.0,190.0,379,1696.0,17,-6.827707926293181,12.0,2,2.0,4.0,REG
2017,ARI,598,339,3979.0,21,-79.18764990382775,52.0,339.0,421,1414.0,5,-82.64051411307317,18.0,2,1.0,3.0,REG
2017,ATL,530,343,4146.0,21,74.83733650024547,24.0,156.0,430,1847.0,12,-38.91776548711535,12.0,1,0.0,4.0,REG
2017,BAL,567,363,3235.0,20,-43.831443677834656,27.0,205.0,460,1856.0,14,-31.367009182162214,13.0,0,1.0,3.0,REG
2017,BUF,475,288,3065.0,16,-28.273161287475027,47.0,261.0,487,2020.0,12,-33.798556800815824,10.0,2,2.0,2.0,REG
2017,CAR,501,293,3319.0,22,-9.327023452867355,35.0,242.0,491,2102.0,15,-39.34244352401048,16.0,0,0.0,5.0,REG
2017,CHI,473,291,3085.0,13,-60.65999426386761,39.0,274.0,422,1788.0,13,-36.65670339434523,12.0,4,0.0,4.0,REG
2017,CIN,510,304,3386.0,25,-33.58777376191097,40.0,264.0,377,1366.0,6,-56.391704858696585,12.0,3,3.0,3.0,REG
2017,CLE,574,312,3537.0,15,-142.87584097321448,50.0,309.0,383,1708.0,11,-4.9676059153728325,28.0,5,4.0,2.0,REG
2017,DAL,493,309,3326.0,22,-33.6070728892649,32.0,185.0,480,2170.0,18,33.23809281150032,13.0,3,2.0,1.0,REG
2017,DEN,566,332,3668.0,19,-90.1127786778446,52.0,335.0,457,1852.0,8,-36.82411515554114,22.0,4,2.0,3.0,REG
2017,DET,570,374,4470.0,29,31.64268669063098,47.0,287.0,363,1221.0,10,-81.73239167219504,11.0,6,2.0,3.0,REG
2017,GB,562,352,3532.0,25,-55.72644630724858,51.0,365.0,386,1724.0,13,15.034533420804927,18.0,2,1.0,2.0,REG
2017,HOU,525,299,3644.0,28,-51.72602154452146,54.0,366.0,463,1895.0,9,-33.35774820536686,17.0,9,1.0,1.0,REG
2017,IND,487,285,3226.0,13,-66.64080547800151,56.0,334.0,451,1661.0,11,-38.58222641767689,9.0,2,3.0,1.0,REG
2017,JAX,527,316,3716.0,21,31.634329817227027,24.0,123.0,527,2262.0,18,-22.70542449954136,13.0,3,1.0,3.0,REG
2017,KC,543,363,4326.0,26,90.63797477624453,37.0,222.0,405,1903.0,12,-8.317976811768641,8.0,1,0.0,2.0,REG
2017,LA,518,320,4023.0,28,78.04960580789741,28.0,192.0,454,1953.0,17,-21.783393662616298,7.0,3,3.0,2.0,REG
2017,LAC,583,366,4551.0,28,107.80768713808347,18.0,120.0,419,1595.0,10,-38.385623325688094,11.0,1,2.0,1.0,REG
2017,MIA,602,373,3792.0,24,-48.92775531249791,33.0,257.0,222,923.0,4,-32.65462027536486,21.0,0,5.0,2.0,REG
2017,MIN,527,357,3929.0,25,60.23168065940657,27.0,176.0,509,1986.0,15,-70.8883540460434,8.0,1,2.0,3.0,REG
2017,NE,792,508,5864.0,36,108.55554439738664,51.0,313.0,456,1913.0,17,-18.731160896172597,12.0,3,0.0,2.0,REG
2017,NO,536,386,4334.0,23,106.64644942046743,20.0,145.0,417,1989.0,23,9.11102838290103,8.0,0,5.0,3.0,REG
2017,NYG,608,373,3680.0,20,-73.66082943699617,35.0,201.0,394,1549.0,6,-53.669813312381216,14.0,7,0.0,1.0,REG
2017,NYJ,510,323,3501.0,19,-18.085123093451273,47.0,319.0,426,1699.0,13,-46.436200600473384,12.0,3,3.0,3.0,REG
2017,OAK,558,347,3761.0,23,20.925395273870986,24.0,130.0,370,1554.0,13,-39.24673329683711,14.0,1,7.0,3.0,REG
2017,PHI,564,341,3967.0,38,66.84397010368295,36.0,230.0,612,2586.0,9,-52.01324687636119,9.0,2,2.0,5.0,REG
